,No,Y_t,J_t,ID index,time,X_t,normal,Interpolated X_t,J_t_pred
47,7,70125.0,2174.0,3,13,32.25620975160994,1,32.25620975160993,1869.3
48,9,538848.0,1637.0,4,2,329.16799022602316,1,329.16799022602316,1972.4
49,9,277353.0,2062.0,4,3,134.50678952473328,1,134.50678952473328,1972.4
50,9,274878.0,2073.0,4,4,132.59913169319827,1,132.59913169319827,1972.4
51,9,206514.0,2168.0,4,5,95.25553505535058,1,95.25553505535058,1972.4
52,9,120006.0,2127.0,4,6,56.420310296191815,1,56.420310296191815,1972.4
53,9,110295.0,2049.0,4,7,53.828696925329425,1,53.828696925329425,1972.4
54,9,122721.0,1659.0,4,8,73.9728752260398,1,73.9728752260398,1972.4
55,9,90588.0,2023.0,4,9,44.779041028175975,1,44.779041028175975,1972.4
56,9,76380.0,2124.0,4,10,35.960451977401135,1,35.960451977401135,1972.4
57,9,83760.0,1802.0,4,11,46.481687014428395,1,46.481687014428395,1972.4
58,9,76527.0,1620.0,4,12,47.2388888888889,1,47.2388888888889,1972.4
59,9,59592.0,2190.0,4,13,27.21095890410959,1,27.21095890410959,1972.4
60,11,474150.0,1689.0,5,2,280.72824156305506,1,280.72824156305506,2055.0
61,11,391167.0,2104.0,5,3,185.91587452471484,1,185.91587452471484,2055.0
62,11,277242.0,2068.0,5,4,134.06286266924565,1,134.06286266924565,2055.0
63,11,191955.0,2169.0,5,5,88.49930843706775,1,88.49930843706775,2055.0
64,11,139041.0,2123.0,5,6,65.49269901083373,1,65.49269901083375,2055.0
65,11,89757.0,2073.0,5,7,43.29811866859624,1,43.29811866859623,2055.0
66,11,97722.0,2200.0,5,8,44.41909090909091,1,44.41909090909091,2055.0
67,11,87381.0,2197.0,5,9,39.772872098315894,1,39.772872098315894,2055.0
68,11,61230.0,2120.0,5,10,28.88207547169811,1,28.8820754716981,2055.0
69,11,61242.0,1807.0,5,11,33.89153292750415,1,33.89153292750415,2055.0
70,11,58677.0,1756.0,5,12,33.415148063781324,1,33.415148063781324,2055.0
71,11,42777.0,2188.0,5,13,19.55073126142596,1,19.55073126142597,2055.0
72,19,654930.0,1626.0,6,4,402.7859778597786,1,402.7859778597786,1891.3
73,19,472101.0,2093.0,6,5,225.561872909699,1,225.561872909699,1891.3
74,19,226404.0,1817.0,6,6,124.60319207484864,1,124.60319207484865,1891.3
75,19,156438.0,1941.0,6,7,80.59659969088098,1,80.59659969088095,1891.3
76,19,151134.0,1287.0,6,8,117.43123543123545,1,117.43123543123545,1891.3
77,19,121257.0,1962.0,6,9,61.80275229357797,1,61.80275229357796,1891.3
78,19,101043.0,2045.0,6,10,49.409779951100255,1,49.409779951100255,1891.3
79,19,100362.0,1863.0,6,11,53.871175523349436,1,53.871175523349436,1891.3
80,19,83550.0,2107.0,6,12,39.65353583293783,1,39.65353583293782,1891.3
81,19,84522.0,2172.0,6,13,38.91436464088397,1,38.91436464088397,1891.3
82,19,80070.0,2098.0,6,14,38.16491897044805,1,38.16491897044805,1891.3
83,19,77835.0,1995.0,6,15,39.015037593984964,1,39.015037593984964,1891.3
84,21,303840.0,1136.0,7,17,267.4647887323944,1,267.4647887323944,1687.888888888889
85,21,155925.0,223.0,7,18,699.2152466367712,0,206.75651981854944,1687.888888888889
86,21,242148.0,1658.0,7,19,146.04825090470447,1,146.04825090470447,1687.888888888889
87,21,133764.0,1807.0,7,20,74.02545655783067,1,74.02545655783064,1687.888888888889
88,21,116772.0,1768.0,7,21,66.04751131221721,1,66.04751131221721,1687.888888888889
89,21,95010.0,1626.0,7,22,58.43173431734317,1,58.43173431734317,1687.888888888889
90,21,74157.0,1914.0,7,23,38.74451410658308,1,38.74451410658307,1687.888888888889
91,21,73023.0,1563.0,7,24,46.719769673704405,1,46.719769673704405,1687.888888888889
92,21,40293.0,2209.0,7,25,18.240380262562248,1,18.24038026256224,1687.888888888889
93,21,55629.0,1510.0,7,26,36.84039735099338,1,36.84039735099338,1687.888888888889
94,21,28794.0,2177.0,7,27,13.226458429030776,1,13.226458429030775,1687.888888888889
95,21,34587.0,1441.0,7,28,24.002081887578072,1,24.002081887578072,1687.888888888889
96,22,356589.0,1139.0,8,17,313.071992976295,1,313.071992976295,1667.2
97,22,346887.0,1089.0,8,18,318.5371900826446,1,318.5371900826446,1667.2
98,22,238533.0,1705.0,8,19,139.90205278592376,1,139.90205278592381,1667.2
99,22,173325.0,1703.0,8,20,101.77627715795654,1,101.77627715795654,1667.2
100,22,174063.0,1875.0,8,21,92.8336,1,92.8336,1667.2
101,22,149127.0,1430.0,8,22,104.28461538461538,1,104.28461538461538,1667.2
102,22,95493.0,1991.0,8,23,47.96233048719236,1,47.96233048719239,1667.2
103,22,73509.0,1977.0,8,24,37.182094081942346,1,37.18209408194235,1667.2
104,22,50541.0,2209.0,8,25,22.87958352195564,1,22.879583521955624,1667.2
105,22,69072.0,1554.0,8,26,44.44787644787645,1,44.44787644787643,1667.2
106,22,40239.0,2161.0,8,27,18.62054604349838,1,18.620546043498393,1667.2
107,22,30024.0,1458.0,8,28,20.592592592592585,1,20.592592592592585,1667.2
108,23,792153.0,836.0,9,12,947.5514354066986,0,379.6055258590767,1855.857142857143
109,23,425277.0,1675.0,9,13,253.89671641791043,1,253.89671641791043,1855.857142857143
110,23,275604.0,2150.0,9,14,128.1879069767442,1,128.18790697674422,1855.857142857143
111,23,195702.0,2175.0,9,15,89.97793103448276,1,89.97793103448276,1855.857142857143
112,23,150300.0,1984.0,9,16,75.75604838709677,1,75.75604838709677,1855.857142857143
113,23,60696.0,1812.0,9,17,33.49668874172185,1,33.49668874172184,1855.857142857143
114,23,82101.0,2138.0,9,18,38.40084190832554,1,38.40084190832554,1855.857142857143
115,23,73365.0,417.0,9,19,175.93525179856118,0,51.77842314544314,1855.857142857143
116,23,57441.0,383.0,9,20,149.97650130548303,0,65.15600438256074,1855.857142857143
117,23,83010.0,1057.0,9,21,78.53358561967832,1,78.53358561967832,1855.857142857143
118,23,72744.0,852.0,9,22,85.38028169014085,0,91.91116685679592,1855.857142857143
119,23,36774.0,827.0,9,23,44.46674727932285,0,105.28874809391351,1855.857142857143
120,25,461544.0,1541.0,10,5,299.5094094743673,1,299.5094094743673,2048.6
121,25,417660.0,2031.0,10,6,205.64254062038404,1,205.64254062038404,2048.6
122,25,318546.0,2092.0,10,7,152.26864244741873,1,152.26864244741876,2048.6
123,25,268992.0,2113.0,10,8,127.30336015144344,1,127.30336015144344,2048.6
124,25,221940.0,2206.0,10,9,100.60743427017228,1,100.60743427017228,2048.6
125,25,192540.0,1970.0,10,10,97.73604060913704,1,97.73604060913704,2048.6
126,25,171450.0,2131.0,10,11,80.45518535898641,1,80.45518535898644,2048.6
127,25,160383.0,2048.0,10,12,78.31201171875,1,78.31201171875,2048.6
128,25,150342.0,2178.0,10,13,69.02754820936639,1,69.02754820936639,2048.6
129,25,165213.0,2176.0,10,14,75.92509191176471,1,75.92509191176471,2048.6
130,25,154131.0,2151.0,10,15,71.6555090655509,1,71.6555090655509,2048.6
131,25,141552.0,2135.0,10,16,66.3007025761124,1,66.3007025761124,2048.6
132,27,349317.0,1422.0,11,5,245.65189873417717,1,245.65189873417717,2007.5
133,27,258042.0,1958.0,11,6,131.78855975485192,1,131.78855975485192,2007.5
134,27,180072.0,1934.0,11,7,93.10858324715616,1,93.10858324715616,2007.5
135,27,124815.0,2113.0,11,8,59.07004259346901,1,59.07004259346901,2007.5
136,27,83694.0,2187.0,11,9,38.26886145404664,1,38.26886145404664,2007.5
137,27,89325.0,1959.0,11,10,45.59724349157734,1,45.59724349157734,2007.5
138,27,82962.0,2130.0,11,11,38.94929577464789,1,38.94929577464789,2007.5
139,27,86175.0,2063.0,11,12,41.771691711100345,1,41.771691711100345,2007.5
140,27,61299.0,2160.0,11,13,28.379166666666666,1,28.379166666666666,2007.5
141,27,68511.0,2149.0,11,14,31.880409492787344,1,31.880409492787344,2007.5
142,27,66363.0,2124.0,11,15,31.244350282485875,1,31.244350282485875,2007.5
143,27,60630.0,2127.0,11,16,28.504936530324397,1,28.504936530324397,2007.5
144,29,446136.0,1493.0,12,5,298.81848626925654,1,298.81848626925654,2001.5
145,29,353061.0,1758.0,12,6,200.83105802047783,1,200.83105802047783,2001.5
146,29,291753.0,2099.0,12,7,138.99618866126727,1,138.99618866126724,2001.5
147,29,233340.0,2084.0,12,8,111.96737044145873,1,111.96737044145873,2001.5
148,29,169671.0,2168.0,12,9,78.26153136531366,1,78.26153136531366,2001.5
149,29,166719.0,1974.0,12,10,84.45744680851064,1,84.45744680851064,2001.5
150,29,136293.0,2061.0,12,11,66.12954876273653,1,66.12954876273653,2001.5
151,29,152142.0,2031.0,12,12,74.90989660265879,1,74.90989660265879,2001.5
152,29,149847.0,2180.0,12,13,68.73715596330274,1,68.73715596330274,2001.5
153,29,126369.0,2167.0,12,14,58.315182279649285,1,58.315182279649285,2001.5
154,29,111981.0,2149.0,12,15,52.1084225221033,1,52.1084225221033,2001.5
155,29,98688.0,2124.0,12,16,46.46327683615819,1,46.46327683615819,2001.5
156,31,364443.0,1539.0,13,5,236.8050682261208,1,236.8050682261208,1968.3
157,31,208689.0,1847.0,13,6,112.9880887926367,1,112.9880887926367,1968.3
158,31,162138.0,2058.0,13,7,78.78425655976677,1,78.7842565597668,1968.3
159,31,120675.0,2066.0,13,8,58.40997095837367,1,58.40997095837367,1968.3
160,31,89466.0,2205.0,13,9,40.57414965986396,1,40.57414965986396,1968.3
161,31,79431.0,1980.0,13,10,40.11666666666667,1,40.11666666666667,1968.3
162,31,61983.0,1602.0,13,11,38.69101123595506,1,38.69101123595506,1968.3
163,31,83751.0,2028.0,13,12,41.29733727810651,1,41.29733727810651,1968.3
164,31,89568.0,2179.0,13,13,41.105094079853146,1,41.105094079853146,1968.3
165,31,79080.0,2179.0,13,14,36.29187700780175,1,36.29187700780175,1968.3
166,31,71700.0,2178.0,13,15,32.92011019283746,1,32.920110192837456,1968.3
167,31,63363.0,2130.0,13,16,29.747887323943658,1,29.74788732394366,1968.3
168,33,352869.0,1242.0,14,17,284.1135265700483,1,284.1135265700483,1581.3
169,33,387726.0,1073.0,14,18,361.3476234855545,1,361.3476234855545,1581.3
170,33,239871.0,1642.0,14,19,146.084652862363,1,146.084652862363,1581.3
171,33,232071.0,1191.0,14,20,194.85390428211585,1,194.85390428211585,1581.3
172,33,135921.0,1570.0,14,21,86.57388535031849,1,86.57388535031845,1581.3
173,33,119514.0,1272.0,14,22,93.9575471698113,1,93.9575471698113,1581.3
174,33,84390.0,1925.0,14,23,43.83896103896104,1,43.83896103896103,1581.3
175,33,62823.0,1993.0,14,24,31.521826392373303,1,31.5218263923733,1581.3
176,33,43791.0,2209.0,14,25,19.82390221819828,1,19.823902218198285,1581.3
177,33,53232.0,1696.0,14,26,31.38679245283019,1,31.386792452830196,1581.3
178,33,16959.0,2189.0,14,27,7.74737322978529,1,7.747373229785295,1581.3
179,33,21504.0,1100.0,14,28,19.54909090909091,1,19.549090909090904,1581.3
180,34,299721.0,1744.0,15,17,171.85837155963299,1,171.85837155963299,1765.2222222222222
181,34,253515.0,417.0,15,18,607.9496402877697,0,179.75355853967312,1765.2222222222222
182,34,314124.0,1674.0,15,19,187.64874551971332,1,187.64874551971332,1765.2222222222222
183,34,238935.0,1292.0,15,20,184.93421052631572,1,184.93421052631572,1765.2222222222222
184,34,179955.0,1809.0,15,21,99.4776119402985,1,99.47761194029852,1765.2222222222222
185,34,118449.0,1652.0,15,22,71.7003631961259,1,71.70036319612592,1765.2222222222222
186,34,66117.0,1941.0,15,23,34.06336939721793,1,34.063369397217905,1765.2222222222222
187,34,53535.0,1758.0,15,24,30.452218430034126,1,30.452218430034126,1765.2222222222222
188,34,31578.0,2209.0,15,25,14.295156179266634,1,14.295156179266627,1765.2222222222222
189,34,33819.0,1808.0,15,26,18.705199115044245,1,18.705199115044245,1765.2222222222222
190,34,36741.0,2169.0,15,27,16.93914246196404,1,16.93914246196404,1765.2222222222222
191,34,51459.0,965.0,15,28,53.32538860103626,0,15.173085808883824,1765.2222222222222
192,62,420636.0,1671.0,16,5,251.7271095152603,1,251.7271095152603,1701.1
193,62,340503.0,1971.0,16,6,172.7564687975647,1,172.7564687975647,1701.1
194,62,247260.0,1695.0,16,7,145.8761061946903,1,145.8761061946903,1701.1
195,62,239706.0,1173.0,16,8,204.35294117647058,1,204.35294117647058,1701.1
196,62,194751.0,1457.0,16,9,133.66575154426906,1,133.66575154426906,1701.1
197,62,172266.0,2071.0,16,10,83.18010622887495,1,83.18010622887495,1701.1
198,62,136533.0,2121.0,16,11,64.37199434229136,1,64.37199434229136,1701.1
199,62,120312.0,2111.0,16,12,56.992894362861215,1,56.992894362861215,1701.1
200,62,117411.0,1190.0,16,13,98.66470588235296,1,98.66470588235296,1701.1
201,62,63408.0,1551.0,16,14,40.88201160541586,1,40.88201160541587,1701.1
202,62,70032.0,2067.0,16,15,33.880986937590706,1,33.880986937590706,1701.1
203,62,57924.0,2158.0,16,16,26.84151992585728,1,26.841519925857288,1701.1
204,64,468567.0,1799.0,17,5,260.4596998332407,1,260.4596998332407,1924.4
205,64,345591.0,1814.0,17,6,190.51323042998897,1,190.51323042998897,1924.4
206,64,241971.0,2143.0,17,7,112.91227251516564,1,112.91227251516564,1924.4
207,64,179847.0,1918.0,17,8,93.7679874869656,1,93.76798748696558,1924.4
208,64,179049.0,1958.0,17,9,91.44484167517875,1,91.44484167517875,1924.4
209,64,164922.0,2071.0,17,10,79.63399323998068,1,79.63399323998067,1924.4
210,64,135852.0,2126.0,17,11,63.9002822201317,1,63.900282220131714,1924.4
211,64,126699.0,2120.0,17,12,59.76367924528302,1,59.76367924528302,1924.4
212,64,92739.0,1169.0,17,13,79.33190761334474,1,79.33190761334474,1924.4
213,64,48981.0,2126.0,17,14,23.03904045155221,1,23.039040451552182,1924.4
214,64,32826.0,2022.0,17,15,16.234421364985163,1,16.234421364985167,1924.4
215,64,34770.0,2117.0,17,16,16.424185167690126,1,16.424185167690126,1924.4
216,79,503403.0,1419.0,18,14,354.75898520084564,1,354.75898520084564,1877.8
217,79,242175.0,1958.0,18,15,123.68488253319714,1,123.68488253319714,1877.8
218,79,169920.0,1743.0,18,16,97.48709122203098,1,97.48709122203098,1877.8
219,79,98799.0,2004.0,18,17,49.30089820359282,1,49.30089820359282,1877.8
220,79,71877.0,2154.0,18,18,33.36908077994429,1,33.369080779944284,1877.8
221,79,47817.0,1915.0,18,19,24.969712793733677,1,24.969712793733674,1877.8
222,79,103461.0,1886.0,18,20,54.85737009544008,1,54.85737009544008,1877.8
223,79,73173.0,2039.0,18,21,35.886709171162344,1,35.88670917116235,1877.8
224,79,55998.0,1890.0,18,22,29.62857142857143,1,29.628571428571433,1877.8
225,79,79404.0,1770.0,18,23,44.86101694915253,1,44.861016949152535,1877.8
226,79,71223.0,1738.0,18,24,40.97986191024166,1,40.979861910241645,1877.8
227,79,52929.0,1840.0,18,25,28.765760869565216,1,28.76576086956521,1877.8
228,81,682641.0,1568.0,19,14,435.3577806122449,1,435.3577806122449,1866.9
229,81,275664.0,1977.0,19,15,139.43550834597877,1,139.43550834597877,1866.9
230,81,182022.0,1524.0,19,16,119.43700787401579,1,119.43700787401579,1866.9
231,81,81327.0,2125.0,19,17,38.2715294117647,1,38.271529411764725,1866.9
232,81,49887.0,2176.0,19,18,22.926011029411764,1,22.926011029411768,1866.9
233,81,53382.0,2153.0,19,19,24.79424059451928,1,24.79424059451928,1866.9
234,81,74019.0,1521.0,19,20,48.6646942800789,1,48.66469428007889,1866.9
235,81,52812.0,2156.0,19,21,24.49536178107607,1,24.49536178107607,1866.9
236,81,25740.0,1761.0,19,22,14.616695059625213,1,14.616695059625215,1866.9
237,81,37227.0,1708.0,19,23,21.79566744730679,1,21.79566744730679,1866.9
238,81,55953.0,1827.0,19,24,30.6256157635468,1,30.625615763546804,1866.9
239,81,56823.0,2101.0,19,25,27.045692527367926,1,27.04569252736793,1866.9
240,83,573084.0,1591.0,20,14,360.2036455059712,1,360.2036455059712,1801.2
241,83,222801.0,1985.0,20,15,112.24231738035265,1,112.24231738035265,1801.2
242,83,149034.0,1407.0,20,16,105.92324093816632,1,105.92324093816632,1801.2
243,83,45717.0,2078.0,20,17,22.000481231953806,1,22.000481231953813,1801.2
244,83,37611.0,2067.0,20,18,18.195936139332364,1,18.19593613933236,1801.2
245,83,53529.0,2186.0,20,19,24.487191216834397,1,24.487191216834397,1801.2
246,83,45870.0,1836.0,20,20,24.983660130718953,1,24.983660130718953,1801.2
247,83,72354.0,2013.0,20,21,35.94336810730253,1,35.94336810730253,1801.2
248,83,28011.0,1582.0,20,22,17.706068268015173,1,17.706068268015173,1801.2
249,83,4404.0,1267.0,20,23,3.4759273875295973,0,13.966474685414825,1801.2
250,83,17805.0,1741.0,20,24,10.226881102814474,1,10.226881102814474,1801.2
251,83,4617.0,1805.0,20,25,2.557894736842105,0,6.4872875202141245,1801.2
252,85,565056.0,1497.0,21,14,377.4589178356714,1,377.4589178356714,1880.0
253,85,338352.0,1950.0,21,15,173.51384615384617,1,173.51384615384617,1880.0
254,85,183171.0,1564.0,21,16,117.11700767263427,1,117.11700767263427,1880.0
255,85,105324.0,2012.0,21,17,52.347912524850905,1,52.347912524850905,1880.0
256,85,77457.0,2020.0,21,18,38.34504950495049,1,38.345049504950474,1880.0
257,85,62832.0,2202.0,21,19,28.534059945504087,1,28.534059945504083,1880.0
258,85,61209.0,1853.0,21,20,33.03237992444684,1,33.03237992444684,1880.0
259,85,66612.0,2171.0,21,21,30.682634730538922,1,30.682634730538922,1880.0
260,85,44025.0,1920.0,21,22,22.9296875,1,22.9296875,1880.0
261,85,39774.0,1611.0,21,23,24.689013035381752,1,24.689013035381752,1880.0
262,85,78612.0,1539.0,21,24,51.07992202729045,1,51.07992202729045,1880.0
263,85,59859.0,1769.0,21,25,33.83776144714528,1,33.83776144714528,1880.0
264,87,716949.0,1221.0,22,15,587.1818181818181,0,411.70675836822966,1837.1
265,87,545490.0,1926.0,22,16,283.2242990654205,1,283.2242990654205,1837.1
266,87,312888.0,2022.0,22,17,154.74183976261128,1,154.74183976261128,1837.1
267,87,252324.0,1231.0,22,18,204.9748172217709,1,204.9748172217709,1837.1
268,87,148305.0,2137.0,22,19,69.39868975198877,1,69.39868975198874,1837.1
269,87,114969.0,2166.0,22,20,53.07894736842106,1,53.07894736842107,1837.1
270,87,99237.0,2194.0,22,21,45.231084776663636,1,45.231084776663636,1837.1
271,87,83595.0,1960.0,22,22,42.650510204081634,1,42.650510204081634,1837.1
272,87,98295.0,1903.0,22,23,51.652653704676815,1,51.652653704676815,1837.1
273,87,58746.0,1611.0,22,24,36.46554934823092,1,36.46554934823092,1837.1
274,87,40617.0,1798.0,22,25,22.590100111234705,1,22.590100111234705,1837.1
275,87,40536.0,1631.0,22,26,24.85346413243409,1,24.85346413243409,1837.1
276,92,286923.0,971.0,23,16,295.49227600411945,0,213.0836443615036,1879.2857142857142
277,92,439110.0,1815.0,23,17,241.93388429752065,1,241.93388429752065,1879.2857142857142
278,92,403857.0,936.0,23,18,431.4711538461538,0,270.78412423353774,1879.2857142857142
279,92,163707.0,224.0,23,19,730.8348214285713,0,299.63436416955483,1879.2857142857142
280,92,448053.0,1364.0,23,20,328.4846041055718,1,328.4846041055718,1879.2857142857142
281,92,493359.0,1583.0,23,21,311.660770688566,1,311.660770688566,1879.2857142857142
282,92,517293.0,2165.0,23,22,238.9344110854504,1,238.93441108545036,1879.2857142857142
283,92,490110.0,2175.0,23,23,225.3379310344828,1,225.33793103448278,1879.2857142857142
284,92,444630.0,1949.0,23,24,228.13237557721908,1,228.13237557721908,1879.2857142857142
285,92,412767.0,2104.0,23,25,196.18203422053242,1,196.18203422053242,1879.2857142857142
286,92,362667.0,2146.0,23,26,168.99673811742778,1,168.9967381174278,1879.2857142857142
287,92,341880.0,2120.0,23,27,161.26415094339623,1,161.26415094339623,1879.2857142857142
288,94,214515.0,129.0,24,13,1662.906976744186,0,297.17732494708235,2040.625
289,94,416163.0,877.0,24,14,474.5302166476625,0,291.1496152993235,2040.625
290,94,610446.0,2141.0,24,15,285.1219056515647,1,285.1219056515647,2040.625
291,94,586656.0,2102.0,24,16,279.0941960038059,1,279.0941960038059,2040.625
292,94,626313.0,2205.0,24,17,284.0421768707484,1,284.0421768707484,2040.625
293,94,574152.0,1470.0,24,18,390.5795918367347,1,390.5795918367347,2040.625
294,94,565386.0,2159.0,24,19,261.87401574803147,1,261.8740157480314,2040.625
295,94,527085.0,2100.0,24,20,250.99285714285716,1,250.99285714285716,2040.625
296,94,402114.0,2103.0,24,21,191.2097004279601,1,191.2097004279601,2040.625
297,94,321138.0,2045.0,24,22,157.0356968215159,1,157.0356968215159,2040.625
298,94,308055.0,2162.0,24,23,142.48612395929698,1,142.486123959297,2040.625
299,94,233796.0,2124.0,24,24,110.0734463276836,1,110.0734463276836,2040.625
300,96,272226.0,139.0,25,13,1958.4604316546765,0,322.8477809532203,1697.857142857143
301,96,359820.0,767.0,25,14,469.12646675358536,0,307.30031362651533,1697.857142857143
302,96,615015.0,2108.0,25,15,291.75284629981024,1,291.75284629981024,1697.857142857143
303,96,564840.0,2045.0,25,16,276.2053789731052,1,276.2053789731052,1697.857142857143
304,96,612855.0,1596.0,25,17,383.9943609022557,1,383.9943609022557,1697.857142857143
305,96,335538.0,682.0,25,18,491.991202346041,0,347.5923804511278,1697.857142857143
306,96,583482.0,1875.0,25,19,311.1904,1,311.1904,1697.857142857143
307,96,587208.0,1878.0,25,20,312.67731629392966,1,312.67731629392966,1697.857142857143
308,96,141240.0,1023.0,25,21,138.06451612903226,1,138.0645161290322,1697.857142857143
309,96,195000.0,1360.0,25,22,143.38235294117646,1,143.38235294117646,1697.857142857143
310,96,200589.0,2161.0,25,23,92.82230448866264,1,92.82230448866258,1697.857142857143
311,96,180903.0,2133.0,25,24,84.81153305203938,1,84.81153305203938,1697.857142857143
312,98,491769.0,1842.0,26,5,266.97557003257333,1,266.97557003257333,2114.4
313,98,348609.0,2183.0,26,6,159.69262482821804,1,159.69262482821804,2114.4
314,98,242835.0,2151.0,26,7,112.89400278940028,1,112.89400278940028,2114.4
315,98,173505.0,2208.0,26,8,78.58016304347827,1,78.58016304347827,2114.4
316,98,136971.0,2083.0,26,9,65.75660105616899,1,65.75660105616899,2114.4
317,98,91797.0,2038.0,26,10,45.042688910696754,1,45.042688910696754,2114.4
318,98,91824.0,2122.0,26,11,43.27238454288408,1,43.27238454288408,2114.4
319,98,97185.0,2198.0,26,12,44.215195632393076,1,44.215195632393076,2114.4
320,98,73089.0,2173.0,26,13,33.63506672802577,1,33.63506672802578,2114.4
321,98,54597.0,2146.0,26,14,25.44128611369991,1,25.441286113699924,2114.4
322,98,58215.0,2156.0,26,15,27.00139146567718,1,27.00139146567718,2114.4
323,98,53460.0,2203.0,26,16,24.266908760780755,1,24.266908760780755,2114.4
324,100,849648.0,1869.0,27,5,454.6003210272873,1,454.6003210272873,2098.7
325,100,750999.0,2124.0,27,6,353.5776836158192,1,353.5776836158192,2098.7
326,100,495360.0,2160.0,27,7,229.3333333333333,1,229.3333333333333,2098.7
327,100,360819.0,2208.0,27,8,163.41440217391303,1,163.41440217391303,2098.7
328,100,288999.0,2037.0,27,9,141.8748159057437,1,141.8748159057437,2098.7
329,100,183015.0,2008.0,27,10,91.1429282868526,1,91.14292828685262,2098.7
330,100,163941.0,2145.0,27,11,76.42937062937062,1,76.42937062937062,2098.7
331,100,132687.0,2208.0,27,12,60.09375,1,60.09375,2098.7
332,100,87249.0,2057.0,27,13,42.41565386485173,1,42.41565386485172,2098.7
333,100,133677.0,2171.0,27,14,61.57392906494703,1,61.573929064947045,2098.7
334,100,112392.0,2167.0,27,15,51.86525149976928,1,51.86525149976928,2098.7
