,No,MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),Y_first6,SF_oil,SF_water,SF_slickwater,PC_ceramic,PC_sand
15,498,18766,9936,2.8176838810000002,0.8182385190000001,0.45064544799999995,4606.02,79.41,29364.22,506.28,58,2525.1,43.29,18.9,31758.2,11.63,1.82,100.0,0.12,7.02,0.0,4606.02,41404.08333,0,1,0,0,1
16,500,19157,9773,3.05204461,0.8191987,0.456432743,4832.0,79.21,38693.81,634.32,61,2601.0,43.1,0.0,41193.9,14.88,1.86,55.0,79.21,4832.0,0.0,4832.0,57193.583329999994,0,1,0,0,1
17,502,17684,9544,171.8,0.869255326,0.44774235,4053.1,77.94,38292.0,736.38,52,2251.26,44.08,0.0,40089.9,17.01,1.8,55.0,77.94,4053.1,0.0,4053.1,41967.66667,0,1,0,0,1
18,504,17618,9536,5.311111111000001,0.878742245,0.45475061,4319.5,78.54,40194.65,730.81,55,2251.26,40.88,0.0,42285.7,17.85,1.92,55.0,78.54,4319.5,0.0,4319.5,58749.5,0,1,0,0,1
19,510,18271,9570,3.276610644,0.8871910190000001,0.46169460799999995,5709.8,98.44,47824.1,824.55,58,2340.78,41.02,0.0,50631.4,20.43,2.44,55.0,98.44,5709.8,0.0,5709.8,42841.66667,0,1,0,0,1
20,512,17854,9427,2.83030647,0.891470801,0.465145816,5510.6,95.01,48873.2,842.64,58,2331.4,40.85,0.0,50809.8,20.96,2.36,55.0,95.01,5510.6,0.0,5510.6,68032.25,0,1,0,0,1
21,514,17415,9585,2.493307839,0.895647999,0.467712487,4234.6,79.9,39875.2,752.36,53,2185.0,41.96,339.0,43335.1,18.25,1.94,55.0,79.9,4234.6,0.0,4234.6,41826.41667,0,1,0,0,1
22,531,19944,9623,11.03695652,0.610818862,0.5942467260000001,6805.87,243.07,9823.5,350.84,28,2865.0,104.89,0.0,9823.5,3.43,2.38,55.0,243.07,6805.87,0.0,6805.87,73146.08333,0,1,0,0,1
23,629,19423,10672,1.0048239270000001,0.293023504,0.444378083,2899.4,49.99,31503.91,543.17,58,2452.5,42.97,0.0,33439.31,12.85,1.18,55.0,49.99,2899.4,0.0,2899.4,59904.25,0,1,0,0,1
24,634,18865,10518,1.022514868,0.296630338,0.44804097600000004,2704.8,49.18,33739.7,613.45,55,2315.7,42.83,0.0,35865.54,14.57,1.17,55.0,49.18,2704.8,0.0,2704.8,39331.41667,0,1,0,0,1
25,639,17444,10213,0.214437367,0.465113416,0.429424106,1459.84,76.83,2574.0,135.47,19,2098.63,113.1,981.73,2661.4,1.23,0.7,55.0,66.83,1269.75,190.09,1269.75,57667.66667000001,0,1,0,1,0
26,656,15741,10103,1.336675665,0.568735023,0.5162826739999999,3989.76,107.83,23675.76,639.89,37,1545.3,42.5,0.0,24766.36,15.32,2.58,55.0,107.83,3989.76,0.0,3989.76,80265.83333,0,1,0,0,1
27,700,19528,10683,8.911392405,0.203804615,0.500606702,5997.0,99.95,62119.35,1035.32,60,2541.65,43.03,0.0,64989.8,24.44,2.36,55.0,99.95,5997.0,0.0,5997.0,75849.41667,0,1,0,0,1
28,702,19124,10510,3.760683761,0.207788957,0.5045568810000001,5403.0,186.31,57739.58,1991.02,29,2411.05,85.09,0.0,58708.2,23.95,2.24,55.0,186.31,5403.0,0.0,5403.0,58680.333329999994,0,1,0,0,1
29,737,21211,10336,7.664037855,0.21574122699999998,0.722943167,5966.0,79.55,51136.8,681.82,75,3146.7,42.38,0.0,55201.2,16.25,1.9,55.0,79.55,5966.0,0.0,5966.0,48548.83333,0,1,0,0,1
30,739,20932,10207,4.0744147160000015,0.22277434899999998,0.7229469470000001,5530.3,131.67,49140.8,1170.02,42,3024.9,71.35,0.0,51152.4,16.25,1.83,55.0,128.47,5395.8,0.0,5530.3,42013.58333,0,1,0,0,1
31,741,21778,10210,186.84615380000002,0.20749762,0.72313217,6310.5,131.47,60354.9,1257.39,48,3338.4,70.42,148.8,62719.9,18.08,1.89,55.0,128.07,6147.5,0.0,6310.5,55952.25,0,1,0,0,1
32,755,19226,10941,0.11836603400000001,0.036408922,0.370281049,5090.0,89.3,39231.6,688.27,57,2418.3,42.98,0.0,41961.2,16.22,2.1,55.0,88.59,5049.5,0.0,5090.0,91298.08333,0,1,0,0,1
33,757,18852,10807,0.140732265,0.030323671,0.37042469100000003,4648.5,83.01,46811.8,835.93,56,2345.3,42.37,0.0,49394.2,19.96,1.98,55.0,0.24,13.5,0.0,4648.5,57440.75,0,1,0,0,1
34,759,19278,11141,0.153298351,0.030922758999999998,0.37087452,5270.0,89.32,37667.5,638.43,59,2467.3,42.28,0.0,40128.1,15.27,2.14,55.0,1.47,87.0,0.0,5270.0,67469.83333,0,1,0,0,1
35,761,18940,10959,0.162294353,0.025645865,0.37049651299999997,4680.0,146.25,28125.2,878.91,32,2394.8,73.94,142.79,29764.1,11.74,1.95,55.0,143.59,4595.0,0.0,4680.0,78646.33333,0,1,0,0,1
36,786,18780,10329,2.006014435,0.165602534,0.48103725299999994,5878.0,99.63,49632.11,841.22,59,2423.4,41.72,0.0,51326.8,20.48,2.43,55.0,99.63,5878.0,0.0,5878.0,227762.8333,0,1,0,0,1
37,790,18504,10582,1.213072568,0.18290220899999998,0.477272298,4174.0,77.3,35300.4,653.71,54,2302.68,48.67,419.6,43626.4,15.33,1.81,55.0,77.19,4168.0,0.0,4174.0,46148.58333,0,1,0,0,1
38,792,19052,10883,1.367055085,0.18168762100000002,0.482473681,5090.1,89.3,36190.7,634.92,57,2435.8,43.24,0.0,38723.6,14.86,2.09,55.0,89.3,5090.1,0.0,5090.1,20238.25,0,1,0,0,1
39,804,19636,10880,23.5625,0.19992285699999998,0.49749948,5738.77,98.94,54583.98,941.1,58,2480.74,42.72,0.0,56862.38,22.0,2.31,55.0,0.17,10.0,0.0,5738.77,52531.16667,0,1,0,0,1
40,806,19262,10679,2.226315789,0.195663592,0.49431287700000004,5847.4,99.11,48569.13,823.21,59,2490.64,42.89,0.0,50933.5,19.5,2.35,55.0,0.03,1.9,0.0,5847.4,101197.0833,0,1,0,0,1
41,808,18465,10461,0.002088773,0.182397499,0.485066813,4654.0,87.81,38956.5,735.03,53,2254.2,43.06,0.0,41278.0,17.28,2.06,55.0,87.54,4639.5,0.0,4654.0,36955.33333,0,1,0,0,1
42,811,17605,10419,0.107080164,0.0,0.556101986,1808.64,62.37,6552.5,225.95,29,2078.1,74.21,2673.54,6515.47,3.15,0.87,40.0,31.37,909.87,909.87,898.77,102182.4167,1,0,0,1,0
43,833,19049,10201,0.242950108,0.203316318,0.6814833020000001,4746.0,131.83,42077.5,1168.82,36,2541.1,71.81,0.0,43662.7,16.56,1.87,55.0,128.31,4619.0,0.0,4746.0,38214.91667,0,1,0,0,1
44,835,19997,10398,0.300526436,0.19459262100000002,0.6826097640000001,5434.0,79.91,47908.1,704.53,68,2810.57,41.79,0.0,51584.7,17.05,1.93,55.0,79.91,5434.0,0.0,5434.0,80561.83333,0,1,0,0,1
45,841,22178,10209,1.178388902,0.192434265,0.723351415,6040.0,128.51,59962.6,1275.8,47,3397.0,71.66,0.0,62321.3,17.65,1.78,55.0,124.79,5865.0,0.0,6040.0,48133.58333,0,1,0,0,1
46,843,21732,10360,0.955542022,0.202626957,0.7215596590000001,6389.0,79.86,55902.8,698.79,80,3359.99,42.39,0.0,60371.3,16.64,1.9,55.0,79.86,6389.0,0.0,6389.0,41390.83333,0,1,0,0,1
47,858,18438,9606,0.113794144,0.517742836,0.787049462,4492.0,51.63,25445.9,292.48,87,2474.7,28.75,2270.55,25688.3,10.28,1.82,55.0,51.63,4492.0,0.0,4492.0,72292.33333,0,1,0,0,1
48,1,20325,10015,0.834537847,0.824660244,0.006074581,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,55.0,145.54,5821.72,0.0,5821.72,99180.33333,0,1,0,0,1
49,3,20456,10213,0.847738015,0.828923612,0.009650532,6091.64,152.29,38424.1,960.6,40,2963.42,75.96,1916.81,38975.0,12.97,2.06,55.0,152.29,6091.64,0.0,6091.64,102906.3333,0,1,0,0,1
50,5,20453,10221,0.91373494,0.844093655,0.024075298999999998,6322.7,158.07,42203.0,1055.08,40,2944.35,75.47,3739.82,42618.61,14.33,2.15,55.0,158.07,6322.7,0.0,6322.7,85081.0,0,1,0,0,1
51,7,20092,9987,0.8794562709999999,0.8408848440000001,0.019973917,6304.66,157.62,41147.9,1028.7,40,2891.47,74.11,4151.99,41914.48,14.23,2.18,55.0,157.62,6304.66,0.0,6304.66,74719.91667,0,1,0,0,1
52,9,20577,10235,0.8981217990000001,0.835989561,0.016915837,6366.74,159.17,39643.3,991.08,40,3036.62,77.84,0.0,39985.1,13.06,2.1,55.0,159.17,6366.74,0.0,6366.74,95972.0,0,1,0,0,1
53,11,20194,10001,0.935155753,0.8313281690000001,0.014526829,6232.25,155.81,42260.7,1056.52,40,2949.85,75.61,263.73,43128.83,14.33,2.11,55.0,155.81,6232.25,0.0,6232.25,101547.0,0,1,0,0,1
54,19,15968,10516,1.5317258880000002,0.601799724,0.060224158,5445.42,155.58,55886.3,1596.75,35,1512.9,43.31,2129.12,57165.81,36.94,3.6,55.0,155.58,5445.42,0.0,5445.42,108271.25,0,1,0,0,1
55,21,15778,10427,25.16296296,0.594253685,0.085588463,1220.0,61.0,3987.0,199.35,20,1378.26,72.5,2372.59,3994.5,2.89,0.89,40.0,30.0,600.0,600.0,620.0,42035.08333,1,0,0,1,0
56,22,14977,10390,36.0,0.594577849,0.10081082599999999,1037.0,61.0,3239.4,190.55,17,1174.13,73.38,2592.76,3246.9,2.76,0.88,40.0,30.0,510.0,510.0,527.0,58650.91667000001,1,0,0,1,0
57,23,15328,10430,104.2564103,0.593248367,0.09334895800000001,2657.5,126.55,3144.95,149.76,21,1436.3,69.9,462.0,3143.86,2.19,1.85,60.0,30.04,630.8,630.8,2026.7,91517.66667,0,1,0,1,0
58,25,19783,10540,0.12659932699999998,0.714444572,0.050490465,7184.58,189.07,53892.8,1418.23,38,2644.08,65.51,1771.87,53882.8,20.38,2.72,55.0,189.07,7184.58,0.0,7184.58,110565.1667,0,1,0,0,1
59,27,19275,10686,0.165561157,0.705889111,0.051382563,2340.78,146.3,15628.95,976.81,16,2521.85,65.77,1435.41,15628.9,6.2,0.93,55.0,146.3,2340.78,0.0,2340.78,62855.41667000001,0,1,0,0,1
60,29,19386,10537,0.078947368,0.70190477,0.047424824000000004,6209.74,159.22,43579.7,1117.43,39,2515.3,63.74,2342.57,44624.68,17.33,2.47,55.0,159.22,6209.74,0.0,6209.74,93870.16667,0,1,0,0,1
61,31,19029,10564,0.344636383,0.7176615890000001,0.062586705,3004.8,158.15,19176.5,1009.29,19,2346.83,59.41,2362.64,19192.35,8.17,1.28,55.0,158.15,3004.8,0.0,3004.8,58590.833329999994,0,1,0,0,1
62,33,15551,10288,0.752615265,0.7242228279999999,0.08858228300000001,1220.0,61.0,4033.4,201.67,20,1394.73,73.4,1856.57,4040.6,2.89,0.87,40.0,30.0,600.0,600.0,620.0,58294.16667000001,1,0,0,1,0
63,34,15367,10277,1.00290754,0.724551095,0.103426638,1159.0,61.0,4068.5,214.13,19,1351.05,75.05,2096.29,4049.3,3.01,0.86,40.0,30.0,570.0,570.0,589.0,58587.333329999994,1,0,0,1,0
64,62,20384,10219,2.717105263,0.8671010729999999,0.117197452,6379.87,159.5,40233.1,1005.83,40,2919.16,73.9,2562.28,40852.0,13.78,2.19,55.0,159.5,6379.87,0.0,6379.87,78289.33333,0,1,0,0,1
65,64,20472,10204,1.491033305,0.876202278,0.122867565,6238.84,155.97,39283.4,982.09,40,2949.56,77.01,2235.39,40887.59,13.32,2.12,55.0,155.97,6238.84,0.0,6238.84,89809.33333,0,1,0,0,1
66,79,16010,10589,0.147577799,0.6992211859999999,0.111602941,1342.0,61.0,4069.5,184.98,22,1549.1,73.76,0.0,4069.5,2.63,0.87,40.0,30.0,660.0,660.0,682.0,62706.16667000001,1,0,0,1,0
67,81,15650,10592,0.185350061,0.6911335059999999,0.11176926400000001,1280.9,61.0,3960.4,188.59,21,1454.02,72.7,0.0,3960.4,2.72,0.88,40.0,29.98,629.5,629.5,651.4,79126.58333,1,0,0,1,0
68,83,15354,10604,0.24959128100000005,0.683201753,0.111931807,1228.3,61.41,3939.3,196.97,20,1358.8,71.51,0.0,3988.5,2.9,0.9,40.0,30.22,604.4,604.4,623.9,62543.16667000001,1,0,0,1,0
69,85,15738,10611,0.39638865,0.674794012,0.112105691,1281.2,61.01,4051.5,192.93,21,1465.98,73.29,195.32,4102.1,2.76,0.87,40.0,30.0,630.1,630.1,651.1,77379.16667,1,0,0,1,0
70,87,15984,10624,0.952182952,0.666254965,0.11227957400000001,1319.0,62.81,4419.5,210.45,21,1539.5,76.9,1982.35,4475.8,2.87,0.86,40.0,30.33,637.0,637.0,682.0,110362.4167,1,0,0,1,0
71,92,19895,10405,2.009082218,0.6204576039999999,0.15627587,4076.5,119.9,7254.2,213.36,34,2630.97,79.63,1044.03,8771.15,2.76,1.55,55.0,105.02,3570.54,0.0,4076.5,57166.16667000001,0,1,0,0,1
72,94,20682,10420,1.43876567,0.633276434,0.159163847,4449.74,158.92,7014.6,250.52,28,2912.69,106.25,536.48,7014.6,2.41,1.53,55.0,158.92,4449.74,0.0,4449.74,119797.3333,0,1,0,0,1
73,96,20587,10409,0.109461967,0.635110626,0.17204256399999998,5886.04,210.22,8370.3,298.94,28,2888.7,106.95,487.44,8370.3,2.9,2.04,55.0,210.22,5886.04,0.0,5886.04,113469.25,0,1,0,0,1
74,98,18668,10526,0.252761704,0.642381742,0.17887694,6414.68,160.37,18097.0,452.43,40,2283.38,58.03,2840.3,18097.0,7.93,2.81,55.0,160.37,6414.68,0.0,6414.68,98373.66667,0,1,0,0,1
75,100,17339,10532,0.576564581,0.642135541,0.192768716,6350.14,158.75,12729.0,318.23,40,1916.82,48.58,2001.33,12735.0,6.64,3.31,55.0,158.75,6350.14,0.0,6350.14,195115.5833,0,1,0,0,1
76,102,16634,10487,0.8664021159999999,0.6427674560000001,0.20554537,5932.7,160.34,37381.94,1010.32,37,1714.09,46.83,2154.59,37381.89,21.81,3.46,55.0,160.34,5932.7,0.0,5932.7,176148.0833,0,1,0,0,1
77,104,16752,10476,1.15009136,0.643723533,0.218567729,6427.41,160.69,39970.67,999.27,40,1854.33,46.84,2458.77,41013.48,21.56,3.47,55.0,160.69,6427.41,0.0,6427.41,201943.3333,0,1,0,0,1
78,108,15912,10460,1.235252478,0.649037357,0.228010357,5285.7,160.17,33498.48,1015.11,33,1546.28,47.41,2399.33,35565.19,21.66,3.42,55.0,160.17,5285.7,0.0,5285.7,182083.25,0,1,0,0,1
79,110,19554,10349,3.063535912,0.666390375,0.18018862600000002,6409.8,160.25,49945.4,1248.64,40,2630.85,66.62,3526.95,51364.44,18.98,2.44,55.0,160.25,6409.8,0.0,6409.8,68745.25,0,1,0,0,1
80,112,20161,10325,2.05524239,0.67313216,0.188255306,6405.69,160.14,48820.02,1220.5,40,2856.65,72.45,3176.81,49659.48,17.09,2.24,55.0,160.14,6405.69,0.0,6405.69,71506.33333,0,1,0,0,1
81,116,18701,10314,6.1958568739999995,0.669102682,0.205254305,6321.27,158.03,48421.77,1210.54,40,2441.29,61.84,2018.94,49091.86,19.83,2.59,55.0,157.94,6317.67,0.0,6321.27,61831.0,0,1,0,0,1
82,122,16716,10438,10.3100616,0.669053442,0.22519798100000002,6400.0,160.0,40511.93,1012.8,40,1806.29,45.68,2859.27,40521.71,22.43,3.54,55.0,160.0,6400.0,0.0,6400.0,225078.9167,0,1,0,0,1
83,124,17303,10315,5.893499307999999,0.6717903690000001,0.216390406,4160.0,104.0,42320.82,1058.02,40,1979.0,78.66,4503.2,42791.56,21.38,2.1,55.0,104.0,4160.0,0.0,4160.0,73793.5,0,1,0,0,1
84,126,14337,10280,1.9297959180000002,0.6934888229999999,0.22132718399999998,905.5,60.37,2885.1,192.34,15,1027.2,73.36,74.9,2960.0,2.81,0.88,40.0,29.37,440.5,440.5,465.0,12952.83333,1,0,0,1,0
85,130,18652,10030,1.987107172,0.693968913,0.22367461100000002,6106.15,160.69,19971.4,525.56,38,2368.2,63.83,3014.53,19971.4,8.43,2.58,55.0,160.69,6106.15,0.0,6106.15,120167.5833,0,1,0,0,1
86,132,19344,10295,1.985541045,0.689529101,0.215982158,6403.75,160.09,57396.15,1434.9,40,2605.3,65.85,3832.38,59710.31,22.03,2.46,55.0,160.09,6403.75,0.0,6403.75,109641.75,0,1,0,0,1
87,134,14806,10450,1.5022264630000002,0.7021796929999999,0.221066359,793.0,61.0,2413.3,185.64,13,1075.6,89.51,1676.27,2443.4,2.24,0.74,40.0,30.0,390.0,390.0,403.0,49195.41667,1,0,0,1,0
88,136,18204,10103,1.280438105,0.712023602,0.224400386,6365.55,159.14,17354.8,433.87,40,2302.02,58.85,1012.43,18577.4,7.54,2.77,55.0,159.14,6365.55,0.0,6365.55,90746.58333,0,1,0,0,1
89,138,18520,10185,1.5344558780000002,0.703008568,0.223364645,6406.64,160.17,14737.1,368.43,40,2440.81,62.27,2233.4,15469.0,6.04,2.62,55.0,160.17,6406.64,0.0,6406.64,184715.4167,0,1,0,0,1
90,148,14715,10206,6.887189293,0.736093786,0.207499669,976.0,61.0,2942.81,183.93,16,1162.0,77.4,0.0,2944.41,2.53,0.84,40.0,30.0,480.0,480.0,496.0,25616.08333,1,0,0,1,0
91,151,14551,10189,9.075289575,0.7363153659999999,0.220159141,978.9,61.18,1834.69,114.67,16,1086.01,72.39,1212.06,1837.19,1.69,0.9,40.0,30.11,481.82,481.82,497.08,13569.333330000001,1,0,0,1,0
92,152,14993,10240,8.522727273,0.735732692,0.21356669,2021.5,101.08,6070.1,303.51,20,1414.79,74.46,1524.11,6141.2,4.29,1.43,40.0,25.04,500.8,500.8,1520.7,31562.5,1,0,0,1,0
93,155,15361,10136,0.011105746000000001,0.848718117,0.226241282,2752.9,125.13,3467.52,157.61,22,1528.75,72.79,1051.85,3467.5,2.27,1.8,60.0,13.89,305.6,305.6,2447.3,41391.41667,0,1,0,1,0
94,157,16027,10150,0.009403719,0.8554434890000001,0.22610898,3009.9,125.41,3990.75,166.28,24,1728.4,75.14,1098.38,3990.8,2.31,1.74,60.0,14.43,346.2,346.2,2663.7,51822.5,0,1,0,1,0
95,159,14931,10153,0.017125588,0.8341758859999999,0.22661173,2503.5,125.18,3050.82,152.54,20,1401.56,73.76,974.04,3154.36,2.18,1.79,60.0,13.72,274.3,274.3,2229.2,34383.5,0,1,0,1,0
96,161,15157,10150,0.014565826,0.841565998,0.226464307,2640.61,125.74,3402.31,162.01,21,1478.45,73.92,1442.97,3390.76,2.3,1.79,60.0,13.4,281.3,281.3,2359.31,43595.33333,0,1,0,1,0
97,163,15597,10188,0.024193548,0.820216328,0.226804513,2757.7,125.35,3317.17,150.78,22,1568.87,74.7,1257.8,3314.52,2.11,1.76,60.0,14.2,312.4,312.4,2445.3,24816.75,0,1,0,1,0
98,165,15098,10163,0.01784973,0.82707711,0.226668431,2505.1,125.26,2982.33,149.12,20,1407.16,74.06,2100.26,2964.69,2.12,1.78,60.0,12.75,254.9,254.9,2250.2,37586.83333,0,1,0,1,0
99,167,15978,10120,3.768548387,0.81370433,0.280243437,1097.58,60.98,2357.32,130.96,18,1231.63,72.44,1905.65,2349.27,1.91,0.89,40.0,29.97,539.47,539.47,558.11,18377.41667,1,0,0,1,0
100,168,14324,10075,7.9273743020000005,0.804820602,0.27566576600000003,1714.0,100.82,5166.8,303.93,17,1138.6,71.16,2599.62,5097.2,4.54,1.51,40.0,25.09,426.6,426.6,1287.4,28811.16667,1,0,0,1,0
101,170,15495,10277,0.024408015,0.764357581,0.22817668100000002,2750.0,125.0,3458.6,157.21,22,1499.13,71.38,152.0,3445.0,2.31,1.83,60.0,12.5,275.0,275.0,2475.0,38735.75,0,1,0,1,0
102,172,15840,10267,0.017179023999999998,0.7715097,0.22794987600000002,2776.58,126.21,3535.4,160.7,22,1559.65,74.26,217.72,3500.8,2.27,1.78,60.0,12.5,275.1,275.1,2501.48,52996.16667,0,1,0,1,0
103,174,14970,10279,0.039497307,0.7509314579999999,0.228448846,2375.0,125.0,2963.0,155.95,19,1331.48,73.97,0.0,2963.0,2.23,1.78,55.0,12.5,237.5,237.5,2137.5,49976.41667,0,1,0,1,0
104,176,15102,10271,0.028767123,0.7574188359999999,0.228274963,2500.0,125.0,3100.5,155.03,20,1384.52,72.86,220.53,3097.2,2.24,1.81,60.0,12.5,250.0,250.0,2250.0,50026.75,0,1,0,1,0
105,178,15167,10274,0.096825397,0.737903358,0.22866809,2625.9,125.04,3172.7,151.08,21,1463.14,73.15,0.0,3172.7,2.17,1.79,60.0,12.52,262.9,262.9,2363.0,56943.16667000001,0,1,0,1,0
106,180,14921,10291,0.057745187999999996,0.743672652,0.228550908,2500.2,125.01,3038.6,151.93,20,1361.2,71.64,0.0,3020.5,2.23,1.84,60.0,12.5,250.0,250.0,2250.2,52582.66667,0,1,0,1,0
107,182,15906,10071,1.197895277,0.779999508,0.280878489,1200.5,52.2,3730.6,162.2,23,1558.5,70.84,1928.33,3732.04,2.39,0.77,40.0,25.65,590.0,590.0,610.5,24038.66667,1,0,0,1,0
108,183,15568,10059,1.004456501,0.795982011,0.28648812100000004,943.73,58.98,3251.2,203.2,16,1445.4,96.35,0.0,3251.2,2.25,0.65,40.0,27.87,445.89,445.89,497.84,9089.666667,1,0,0,1,0
109,184,14304,10095,0.920596622,0.788165151,0.275283978,1708.1,100.48,5282.3,310.72,17,1164.8,72.79,2038.07,5255.0,4.53,1.47,40.0,24.44,415.5,415.5,1292.6,17657.91667,1,0,0,1,0
110,186,19488,10162,0.10323933800000001,0.716816302,0.233430985,4483.51,160.13,8253.3,294.76,28,2636.75,96.54,0.0,8253.3,3.13,1.7,55.0,160.13,4483.51,0.0,4483.51,103358.0833,0,1,0,0,1
111,198,18868,9985,0.44657590799999997,0.724255654,0.253098717,4422.78,157.96,8040.6,287.16,28,2520.68,92.17,0.0,7988.2,3.19,1.75,55.0,157.96,4422.78,0.0,4422.78,101601.75,0,1,0,0,1
112,200,18077,9978,0.769070879,0.7242310340000001,0.270812149,6402.24,160.06,14776.1,369.4,40,2219.91,56.26,146.05,15065.83,6.66,2.88,55.0,160.06,6402.24,0.0,6402.24,87045.33333,0,1,0,0,1
113,202,18258,10143,0.607216495,0.724526475,0.26209907600000004,6458.27,161.46,11452.6,286.32,40,2186.45,55.4,0.0,11696.9,5.24,2.95,55.0,161.46,6458.27,0.0,6458.27,96957.0,0,1,0,0,1
114,204,19747,10057,1.064688916,0.725195319,0.287709085,6840.2,171.01,46146.4,1153.66,40,2732.16,69.12,1182.29,42456.7,16.89,2.5,55.0,171.01,6840.2,0.0,6840.2,131044.75,0,1,0,0,1
115,206,20249,10243,0.897552883,0.724563405,0.278001852,6720.0,168.0,45793.9,1144.85,40,2903.86,73.48,1590.15,46706.8,15.77,2.31,55.0,168.0,6720.0,0.0,6720.0,160394.1667,0,1,0,0,1
