No,CPA Pretty Well ID,Reference (KB) Elev. (ft),Ground Elevation (ft),MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),On Prod YYYY/MM/DD,First Prod YYYY/MM,Last Prod. YYYY/MM,Stimulation Fluid,Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Composition,Proppant Name 1,Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),First 6 mo. Avg. GAS (Mcf),GAS_MONTH_1,GAS_MONTH_2,GAS_MONTH_3,GAS_MONTH_4,GAS_MONTH_5,GAS_MONTH_6,GAS_MONTH_7,GAS_MONTH_8,GAS_MONTH_9,GAS_MONTH_10,GAS_MONTH_11,GAS_MONTH_12,GAS_MONTH_13,GAS_MONTH_14,GAS_MONTH_15,GAS_MONTH_16,GAS_MONTH_17,GAS_MONTH_18,GAS_MONTH_19,GAS_MONTH_20,GAS_MONTH_21,GAS_MONTH_22,GAS_MONTH_23,GAS_MONTH_24,GAS_MONTH_25,GAS_MONTH_26,GAS_MONTH_27,GAS_MONTH_28,GAS_MONTH_29,GAS_MONTH_30,GAS_MONTH_31,GAS_MONTH_32,GAS_MONTH_33,GAS_MONTH_34,GAS_MONTH_35,GAS_MONTH_36,Last 6 mo. Avg. GAS (Mcf),CND_MONTH_1,CND_MONTH_2,CND_MONTH_3,CND_MONTH_4,CND_MONTH_5,CND_MONTH_6,CND_MONTH_7,CND_MONTH_8,CND_MONTH_9,CND_MONTH_10,CND_MONTH_11,CND_MONTH_12,CND_MONTH_13,CND_MONTH_14,CND_MONTH_15,CND_MONTH_16,CND_MONTH_17,CND_MONTH_18,CND_MONTH_19,CND_MONTH_20,CND_MONTH_21,CND_MONTH_22,CND_MONTH_23,CND_MONTH_24,CND_MONTH_25,CND_MONTH_26,CND_MONTH_27,CND_MONTH_28,CND_MONTH_29,CND_MONTH_30,CND_MONTH_31,CND_MONTH_32,CND_MONTH_33,CND_MONTH_34,CND_MONTH_35,CND_MONTH_36,HRS_MONTH_1,HRS_MONTH_2,HRS_MONTH_3,HRS_MONTH_4,HRS_MONTH_5,HRS_MONTH_6,HRS_MONTH_7,HRS_MONTH_8,HRS_MONTH_9,HRS_MONTH_10,HRS_MONTH_11,HRS_MONTH_12,HRS_MONTH_13,HRS_MONTH_14,HRS_MONTH_15,HRS_MONTH_16,HRS_MONTH_17,HRS_MONTH_18,HRS_MONTH_19,HRS_MONTH_20,HRS_MONTH_21,HRS_MONTH_22,HRS_MONTH_23,HRS_MONTH_24,HRS_MONTH_25,HRS_MONTH_26,HRS_MONTH_27,HRS_MONTH_28,HRS_MONTH_29,HRS_MONTH_30,HRS_MONTH_31,HRS_MONTH_32,HRS_MONTH_33,HRS_MONTH_34,HRS_MONTH_35,HRS_MONTH_36
62,21,3048,3017,20384,10219,2.717105263,0.867101073,0.117197452,2017/07/15,2017/07/01,2021/07/31,Slickwater,6379.87,159.5,40233.1,1005.83,40,2919.16,73.9,2562.28,40852,13.78,2.19,Sand,Sand,40/70,159.5,6379.87,0,6379.87,78289.33333,145686,144213,130737,129012,113862,97629,89787,81864,75609,108654,66114,64938,74238,57873,62640,61290,57198,53778,48513,45276,42744,41991,39054,39267,39132,40209,38070,12483,27357,23568,22566,25113,22353,18831,18099,20994,21326,591,312,606,99,153,48,411,393,438,23913,13113,10002,15735,14811,8169,11781,10779,11433,6597,6372,5772,5787,5385,5304,3054,5790,6726,4857,5997,5223,5811,5520,4896,4023,4218,4431,408,732,530,595,657,718,490,549,655,116,696,360,198,603,655,686,687,697,723,655,742,696,739,675,563,188,438,154,659,737,655,668,743,717,731,709
64,22,3049,3017,20472,10204,1.491033305,0.876202278,0.122867565,2017/07/15,2017/07/01,2021/07/31,Slickwater,6238.84,155.97,39283.4,982.09,40,2949.56,77.01,2235.39,40887.59,13.32,2.12,Sand,Sand,40/70,155.97,6238.84,0,6238.84,89809.33333,163035,166221,139311,110307,141495,93789,90726,78066,73179,64596,55950,59301,57084,60462,61503,58149,54933,51840,48639,44829,42384,43749,41202,41748,41805,40095,10839,26463,13467,9051,10509,11049,11268,11505,11826,11439,11266,669,372,588,117,156,51,405,306,420,12024,11262,8613,8400,12603,8007,11931,11262,12108,7218,7005,5955,6120,5613,5277,2970,5628,4434,9558,5088,3276,3804,4005,3936,3663,4149,3900,408,724,666,444,658,711,739,670,733,613,708,596,715,616,626,680,682,708,722,659,744,700,737,682,560,186,422,724,688,713,629,671,721,718,725,673
79,27,3278,3245,16010,10589,0.147577799,0.699221186,0.111602941,2015/04/09,2015/04/01,2021/07/31,Oil: CWS-DynaGel,1342,61,4069.5,184.98,22,1549.1,73.76,0,4069.5,2.63,0.87,Ceramic/Sand,EconoProp,30/50,30,660,660,682,62706.16667,222696,149181,131526,97248,71415,73512,61542,63213,45165,40917,30948,26934,23067,26445,22365,20793,16965,10059,31431,31836,40194,26307,24471,22395,16188,18660,21150,18609,31803,28992,20331,27621,23271,16875,14793,21261,20692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,18,12,0,111,3,0,3,0,6,0,243,660,515,731,739,487,511,549,682,582,689,732,693,740,720,727,704,483,453,693,739,742,665,631,601,605,683,597,490,682,580,546,611,584,583,672
81,28,3278,3245,15650,10592,0.185350061,0.691133506,0.111769264,2015/03/07,2015/03/01,2021/07/31,Oil: CWS-DynaGel,1280.9,61,3960.4,188.59,21,1454.02,72.7,0,3960.4,2.72,0.88,Ceramic/Sand,EconoProp,30/50,29.98,629.5,629.5,651.4,79126.58333,259047,259800,163794,124689,83208,67767,72624,55473,53925,38154,22677,20496,21165,16131,12591,15870,15537,21975,17535,31110,25374,20838,17982,13992,11826,11982,1932,8379,5925,22923,25239,13239,17475,14580,21993,20250,18796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,90,3,0,3,0,3,469,611,487,510,733,733,482,487,554,700,738,686,731,712,732,683,731,738,436,459,625,739,744,672,518,546,696,600,600,507,720,480,626,684,744,672
83,29,3277,3244,15354,10604,0.249591281,0.683201753,0.111931807,2015/03/02,2015/03/01,2021/07/31,Oil: CWS-DynaGel,1228.3,61.41,3939.3,196.97,20,1358.8,71.51,0,3988.5,2.9,0.9,Ceramic/Sand,EconoProp,30/50,30.22,604.4,604.4,623.9,62543.16667,246771,201510,124803,95457,71907,55437,59454,45663,43917,28845,2100,14772,4863,13656,19092,19350,18435,15744,13173,15447,17250,29154,27714,15486,14628,11616,1767,2025,729,1650,5376,6006,6423,1917,1662,1038,3737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,66,3,0,3,0,3,576,382,632,515,730,739,381,489,536,696,729,652,651,690,725,720,731,734,620,535,680,723,733,556,494,572,515,397,496,373,685,544,511,590,694,520
85,30,3277,3244,15738,10611,0.39638865,0.674794012,0.112105691,2015/02/16,2015/02/01,2021/07/31,Oil: CWS-DynaGel,1281.2,61.01,4051.5,192.93,21,1465.98,73.29,195.32,4102.1,2.76,0.87,Ceramic/Sand,EconoProp,30/50,30,630.1,630.1,651.1,77379.16667,170637,196215,198204,134691,116910,86751,65862,65292,52017,49026,35412,20886,24603,27174,25680,19887,22068,20877,18921,18579,23709,18981,30381,17250,16353,14157,13515,14241,14487,11046,24159,27012,27441,19338,19857,20664,23078.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,3,0,18,6,0,0,0,0,0,111,3,0,3,0,293,580,623,667,544,738,744,308,511,558,717,736,574,731,714,737,720,744,694,661,497,693,736,741,647,653,619,489,569,552,485,678,375,472,595,701
87,31,3277,3244,15984,10624,0.952182952,0.666254965,0.112279574,2014/12/18,2014/12/01,2021/07/31,Oil: CWS-DynaGel,1319,62.81,4419.5,210.45,21,1539.5,76.9,1982.35,4475.8,2.87,0.86,Ceramic/Sand,EconoProp,30/50,30.33,637,637,682,110362.4167,211020,245964,259965,215580,177960,151950,127038,101757,84093,93375,84516,74433,57909,46539,43857,41037,37989,35943,34797,33618,30822,31101,27909,24585,24237,43347,30711,27948,19338,11460,12639,13203,14775,7146,16671,16719,13525.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,3,0,0,0,0,0,0,0,33,3,0,250,321,649,583,661,681,545,736,740,181,493,556,714,734,688,730,698,737,720,736,737,674,592,693,689,660,553,515,515,580,696,576,525,624,528,478
92,32,3073,3072,19895,10405,2.009082218,0.620457604,0.15627587,2014/10/09,2014/10/01,2021/07/31,Water: SLB-WaterFrac (WF),4076.5,119.9,7254.2,213.36,34,2630.97,79.63,1044.03,8771.15,2.76,1.55,Sand,Sand,40/70,105.02,3570.54,0,4076.5,57166.16667,286923,0,0,73719,237516,127875,171720,184674,47463,1059,0,162648,82128,177915,188010,181782,149844,161733,172980,172341,171972,168696,175896,145518,151881,146784,145965,148560,140811,123396,124590,119070,119007,146850,101052,93978,117424.5,36594,132,0,5751,17091,12873,13386,16233,7968,516,0,32139,12234,14979,15759,15324,12021,11646,9495,8421,8142,7020,6699,5577,5631,4608,3705,3720,3312,2604,2538,2298,2067,2235,2196,2106,250,720,0,591,506,717,608,303,24,192,0,31,20,636,707,724,664,194,712,739,713,741,719,714,498,711,739,700,666,737,689,737,719,740,710,669
94,33,3079,3054,20682,10420,1.43876567,0.633276434,0.159163847,2015/05/22,2015/05/01,2021/07/31,Water: SLB-WaterFrac (WF),4449.74,158.92,7014.6,250.52,28,2912.69,106.25,536.48,7014.6,2.41,1.53,Sand,Sand,40/70,158.92,4449.74,0,4449.74,119797.3333,63228,151287,0,0,212046,204117,218754,210909,180783,192357,182646,211653,211974,210312,204027,189006,200955,184191,182925,194850,187611,194352,167673,165060,128631,125346,148137,111372,99840,109926,112257,106932,88866,80859,77703,75234,90308.5,8136,45591,0,0,20610,23112,19596,14796,11520,12816,11940,14679,14034,13302,13266,13461,13752,9306,7860,6237,6471,5463,4248,3999,3318,2502,2991,2982,3093,3072,3012,2997,2463,2361,2130,2061,120,8,0,0,157,719,690,733,717,667,716,718,744,716,744,716,296,457,679,742,737,664,740,695,737,626,739,727,604,713,698,738,725,672,731,720
96,34,3078,3054,20587,10409,0.109461967,0.635110626,0.172042564,2015/05/22,2015/05/01,2021/07/31,Water: SLB-WaterFrac (WF),5886.04,210.22,8370.3,298.94,28,2888.7,106.95,487.44,8370.3,2.9,2.04,Sand,Sand,40/70,210.22,5886.04,0,5886.04,113469.25,78180,194046,0,0,159072,200748,208161,210738,196116,169971,187371,207498,190227,210063,212565,0,170430,165108,191646,199647,192189,209481,189312,188415,0,38508,102732,72090,56757,66153,66771,70620,63198,60270,60534,60099,63582,4416,17814,0,0,17847,22626,23400,19059,18300,16932,17751,17016,15273,16347,15510,453,21324,12174,11154,8931,7449,10032,7053,6441,5658,12150,5028,4488,26100,4308,3768,3936,3201,3024,2694,2496,119,19,0,0,98,668,651,734,722,664,661,719,737,708,150,1,247,433,685,740,449,654,740,483,64,227,731,653,28,678,700,735,725,672,744,716
98,35,3185,3157,18668,10526,0.252761704,0.642381742,0.17887694,2017/07/06,2017/06/01,2021/07/31,Water: SLB-WaterFrac (WF),6414.68,160.37,18097,452.43,40,2283.38,58.03,2840.3,18097,7.93,2.81,Sand,Sand,40/70,160.37,6414.68,0,6414.68,98373.66667,204810,145836,141123,129360,115962,103287,91896,80280,70659,62568,56937,54000,50700,47526,38745,34263,33534,24000,23103,34167,34554,33246,32775,31164,27564,21801,23724,17148,17511,19938,20421,19182,18612,18882,19473,15105,18612.5,26544,11532,8817,6864,6600,5937,4905,4839,4218,3372,3081,2538,2223,2130,1296,2517,2502,1824,1827,1959,2151,1887,1812,1575,1461,1320,795,807,699,789,675,660,1020,750,708,462,480,744,617,720,742,720,743,743,664,744,720,743,720,741,621,573,744,720,729,738,654,738,718,741,692,739,741,687,739,719,744,741,670,742,720,740
100,36,3185,3157,17339,10532,0.576564581,0.642135541,0.192768716,2017/07/06,2017/06/01,2021/07/31,Water: SLB-WaterFrac (WF),6350.14,158.75,12729,318.23,40,1916.82,48.58,2001.33,12735,6.64,3.31,Sand,Sand,40/70,158.75,6350.14,0,6350.14,195115.5833,279354,274368,295926,276642,243963,230394,189363,162642,143355,124860,119964,115995,105984,96765,86250,66399,59481,57135,57105,53973,52863,50175,44880,37632,32364,24210,30675,42603,42801,48273,41688,35493,35211,33645,35427,30930,35399,44310,23499,19329,14706,13164,10323,7830,7512,6576,5487,4926,4005,3381,3093,2679,2553,2673,2604,2502,2052,1956,1872,1743,1551,1371,1017,1395,1806,1671,1698,1740,1470,1455,1365,1356,1224,384,744,740,720,698,705,744,743,672,744,720,743,720,744,572,543,744,720,738,744,662,744,720,743,719,744,593,719,733,718,730,740,696,744,720,740
102,37,3183,3157,16634,10487,0.866402116,0.642767456,0.20554537,2017/07/02,2017/06/01,2021/07/31,Slickwater,5932.7,160.34,37381.94,1010.32,37,1714.09,46.83,2154.59,37381.89,21.81,3.46,Sand,Sand,40/70,160.34,5932.7,0,5932.7,176148.0833,325680,275307,275205,256254,229494,202077,160140,133269,110826,99756,81579,64947,71127,69201,59994,52827,46569,42021,41421,39726,40374,39090,34302,32640,27063,27321,26709,21771,24063,27072,21714,17748,10965,9723,11310,7965,13237.5,42840,22362,20397,14721,12687,9258,6894,6330,5277,4266,3624,2469,2586,2451,2343,2448,2334,2214,2148,1734,1749,1620,1482,1335,1116,1212,1158,996,1137,1062,912,738,510,489,492,303,494,744,736,719,692,719,744,743,672,743,720,613,720,744,723,718,744,720,741,744,667,744,720,743,718,744,742,711,725,717,741,723,694,743,718,737
104,38,3183,3157,16752,10476,1.15009136,0.643723533,0.218567729,2017/07/02,2017/05/01,2021/07/31,Slickwater,6427.41,160.69,39970.67,999.27,40,1854.33,46.84,2458.77,41013.48,21.56,3.47,Sand,Sand,40/70,160.69,6427.41,0,6427.41,201943.3333,107925,358806,277491,277143,267360,242151,246207,183138,161328,138375,120102,115116,110988,88827,72927,61164,56706,54132,50256,49956,47781,46905,45648,40275,38982,33741,41205,46698,41331,37182,41715,40116,34986,40194,35130,29733,36979,18366,52326,21969,20589,15498,13743,11007,7602,6981,5955,4953,4482,3354,2655,2235,2073,2292,2283,2169,2088,1674,2043,1527,1434,1452,1173,1530,1572,1368,1167,1212,1326,1107,1308,1050,894,240,708,744,743,718,709,701,717,742,672,744,720,743,720,615,743,718,744,720,737,744,658,744,720,744,714,744,744,720,738,720,742,731,682,731,717
108,40,3178,3157,15912,10460,1.235252478,0.649037357,0.228010357,2017/06/05,2017/05/01,2021/07/31,Slickwater: CWS-600,5285.7,160.17,33498.48,1015.11,33,1546.28,47.41,2399.33,35565.19,21.66,3.42,Sand,Sand,40/70,160.17,5285.7,0,5285.7,182083.25,143490,252534,276552,271389,273534,238638,214818,167598,132270,112056,91149,86181,70020,57294,64926,63600,60609,60186,54699,56853,55080,43842,47175,41925,39864,36633,33819,35892,33585,32346,34422,30993,26772,28410,25272,32376,29707.5,21153,25065,20772,18630,13692,11538,8451,6081,5535,4644,3618,3471,2424,2139,2280,2139,2049,2178,1986,1992,1623,1521,1650,1554,1365,1188,1284,1269,1119,1035,1014,1032,858,978,861,801,312,720,742,737,716,697,720,744,742,672,706,720,630,720,744,742,718,744,720,742,744,656,744,720,743,720,744,744,720,739,720,741,733,696,743,719
110,41,3183,3157,19554,10349,3.063535912,0.666390375,0.180188626,2017/07/02,2017/06/01,2021/07/31,Slickwater,6409.8,160.25,49945.4,1248.64,40,2630.85,66.62,3526.95,51364.44,18.98,2.44,Sand,Sand,40/70,160.25,6409.8,0,6409.8,68745.25,164466,145143,110673,88587,73158,62064,49680,44754,42240,40056,41022,39042,35547,37302,34992,27642,28509,27210,27114,28434,26577,23979,18963,21591,22956,20622,19755,16494,18519,26658,25296,22116,20385,20493,20739,19212,21373.5,32313,17166,13056,8556,7473,5940,4593,4626,4296,3855,3609,3252,2646,2487,2373,2220,2484,2358,2175,1914,1770,1599,1353,1692,1608,1437,1272,1053,1089,1590,1518,1311,1224,1227,1167,1125,447,744,587,720,742,690,742,742,672,739,720,743,719,741,744,663,744,720,738,744,668,744,720,741,720,744,743,712,715,712,723,739,696,744,720,740
112,42,3183,3157,20161,10325,2.05524239,0.67313216,0.188255306,2017/07/02,2017/06/01,2021/07/31,Slickwater,6405.69,160.14,48820.02,1220.5,40,2856.65,72.45,3176.81,49659.48,17.09,2.24,Sand,Sand,40/70,160.14,6405.69,0,6405.69,71506.33333,173412,137397,109290,79599,64374,54045,53748,43854,40902,38130,37626,37539,33522,31179,29289,18219,24840,24174,24426,24951,25203,24429,20103,20910,19026,18459,18516,19791,19743,20070,18327,18039,18606,17853,18501,16020,17891,32217,25743,14184,8778,7350,5859,4863,4491,4029,3363,3228,2808,2241,2184,2283,1848,2406,2295,2259,1743,2127,1671,1446,1509,1275,1239,1218,1263,1164,1152,1140,1023,1137,1068,1029,915,686,744,650,711,731,716,744,741,672,744,718,743,720,741,744,679,744,719,739,744,658,728,718,743,717,742,742,719,739,720,743,716,694,743,719,739
116,43,3178,3157,18701,10314,6.195856874,0.669102682,0.205254305,2017/06/12,2017/05/01,2021/07/31,Slickwater,6321.27,158.03,48421.77,1210.54,40,2441.29,61.84,2018.94,49091.86,19.83,2.59,Sand,Sand,40/70,157.94,6317.67,0,6321.27,61831,79512,141327,151431,99864,78444,62757,47022,37554,32367,29661,18912,34458,34479,30837,30192,28884,18471,21882,20325,20907,20856,20784,20103,16818,16410,14712,14760,15429,13932,14103,14904,14091,13152,12591,11931,13305,13329,19392,24762,16236,11238,7173,6288,4932,4242,4035,3459,2253,3072,2568,2169,2058,2022,1626,1866,1860,1803,1488,1395,1290,1191,1224,1104,1122,1137,1008,987,981,1074,960,933,849,909,96,720,741,656,718,742,714,744,743,672,736,720,743,719,741,744,676,744,720,741,744,661,744,720,743,720,744,744,720,739,700,743,722,694,725,714
122,46,3178,3157,16716,10438,10.3100616,0.669053442,0.225197981,2017/06/10,2017/04/01,2021/07/31,Slickwater,6400,160,40511.93,1012.8,40,1806.29,45.68,2859.27,40521.71,22.43,3.54,Sand,Sand,40/70,160,6400,0,6400,225078.9167,52725,302466,281769,278730,285144,281946,258972,258534,219237,186600,165603,147915,143301,136641,125952,112623,98664,69411,71103,68727,65484,63261,63624,62283,58845,57669,45330,53028,53403,49575,48324,52785,48120,48792,55788,51444,50875.5,5430,41616,32877,24609,23799,19050,17004,15147,11097,10056,8871,7080,6651,5358,4632,3966,3474,3117,3441,3495,3033,2562,2487,2442,2445,2376,1701,2214,2043,1878,1761,1752,1746,1854,2010,1695,72,744,720,743,741,719,737,693,739,743,672,743,720,742,720,744,726,465,742,720,741,744,662,739,720,743,661,744,744,720,739,719,743,736,694,742
124,47,3178,3157,17303,10315,5.893499308,0.671790369,0.216390406,2017/06/02,2017/04/01,2021/07/31,Slickwater,4160,104,42320.82,1058.02,40,1979,78.66,4503.2,42791.56,21.38,2.1,Sand,Sand,40/70,104,4160,0,4160,73793.5,954,161124,157053,170454,104913,85245,50517,48789,47256,32052,35025,27771,29664,3240,28302,21798,26919,15840,22344,20118,12831,20040,11727,20004,19458,20643,16038,18009,17865,16917,16254,17427,16953,15255,15204,13062,15692.5,0,28263,26205,23472,11553,7317,6516,4581,4125,3156,3102,2328,2697,282,2406,1761,2046,1572,2019,1881,1368,1506,1017,1419,1452,1494,1125,1293,1179,1104,1074,1017,1014,870,945,822,24,744,712,743,535,715,607,680,712,708,672,663,720,710,720,744,744,696,744,720,707,744,552,681,719,743,719,744,741,720,739,719,742,731,695,743
126,48,3276,3243,14337,10280,1.929795918,0.693488823,0.221327184,2015/04/13,2015/04/01,2021/07/31,Oil: CWS-DynaGel,905.5,60.37,2885.1,192.34,15,1027.2,73.36,74.9,2960,2.81,0.88,Ceramic/Sand,EconoProp,30/50,29.37,440.5,440.5,465,12952.83333,198069,0,0,0,119694,102948,27384,0,0,69825,59796,46110,32511,32214,29925,29625,30990,28494,17955,20901,21039,28608,6225,15330,0,783,2712,0,5121,13098,16731,15144,15939,14130,13281,12651,14646,0,0,0,0,0,270,0,0,0,18,618,54,6,33,3,42,6,24,0,0,87,0,0,0,0,0,645,0,0,96,3,0,3,3,3,0,99,0,0,0,214,178,74,0,0,104,298,461,700,621,712,736,743,684,580,692,492,323,250,620,0,279,194,0,216,662,448,292,681,675,646,583
130,49,3035,3015,18652,10030,1.987107172,0.693968913,0.223674611,2017/05/08,2017/04/01,2021/07/31,Water: SLB-WaterFrac (WF),6106.15,160.69,19971.4,525.56,38,2368.2,63.83,3014.53,19971.4,8.43,2.58,Sand,Sand,40/70,160.69,6106.15,0,6106.15,120167.5833,33957,191574,198618,191565,153972,132702,124206,111648,102294,81807,62412,60321,61047,62418,60219,56583,52401,52257,46308,47448,48555,47784,46260,44892,43899,41556,39738,37239,35508,41535,41031,41766,39690,36564,36531,36303,38647.5,7650,31263,23133,16407,11832,8706,7884,6783,5877,5022,3957,3477,3390,3630,3471,3411,3489,4248,3720,3555,3129,2385,2211,2037,2196,2055,2148,1914,1638,1953,1863,1872,1686,1584,1566,1551,436,744,707,737,742,718,740,719,744,669,671,744,720,743,714,743,736,487,741,705,736,738,665,744,716,742,716,743,740,713,744,720,691,744,696,741
132,50,3178,3157,19344,10295,1.985541045,0.689529101,0.215982158,2017/05/27,2017/04/01,2021/07/31,Slickwater,6403.75,160.09,57396.15,1434.9,40,2605.3,65.85,3832.38,59710.31,22.03,2.46,Sand,Sand,40/70,160.09,6403.75,0,6403.75,109641.75,95985,221064,197142,174549,141273,116232,100719,87285,76161,65721,58080,56244,58863,58083,55500,54351,51924,50412,43461,40911,41226,40881,42033,41262,38238,37233,35898,34083,34725,33852,32295,32547,28221,25119,22476,28035,28115.5,20199,46425,22698,17010,13725,9585,9018,7530,6126,5787,5034,4440,4383,3996,3633,3531,3639,3687,3468,3324,3201,2691,3156,2445,2430,2298,2091,1962,1815,1860,1776,1644,1542,1521,1596,1800,144,744,708,743,652,720,742,720,744,743,672,744,720,743,720,741,744,720,744,720,744,744,672,744,719,743,719,744,743,720,739,720,744,722,691,743
134,51,3277,3244,14806,10450,1.502226463,0.702179693,0.221066359,2014/12/30,2014/12/01,2021/07/31,Oil: CWS-DynaGel,793,61,2413.3,185.64,13,1075.6,89.51,1676.27,2443.4,2.24,0.74,Ceramic/Sand,EconoProp,30/50,30,390,390,403,49195.41667,177048,222966,114645,89445,79782,65892,54345,41922,37626,43275,36375,37563,34848,19386,21894,16818,29451,13395,53568,30378,26682,20268,21663,18327,30459,31905,17595,16353,0,12714,27528,12828,18714,25431,21249,20346,21016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,6,0,30,0,0,0,54,0,0,150,3,0,95,349,594,365,631,612,499,737,637,449,487,529,438,718,609,701,710,138,235,728,741,659,593,691,686,735,614,563,0,1,408,547,272,613,493,501
136,52,3035,3015,18204,10103,1.280438105,0.712023602,0.224400386,2017/05/09,2017/04/01,2021/07/31,Water: SLB-WaterFrac (WF),6365.55,159.14,17354.8,433.87,40,2302.02,58.85,1012.43,18577.4,7.54,2.77,Sand,Sand,40/70,159.14,6365.55,0,6365.55,90746.58333,0,143370,191040,154674,114438,102030,91335,92271,59106,46779,42945,45357,41982,29913,31116,24735,23835,25845,22890,23946,22035,22854,35433,34854,32742,30738,28485,26877,26262,26802,26094,23853,22227,21255,18876,18321,21771,5154,18456,15363,10428,7866,6948,6579,6432,3663,3168,2901,2646,2388,3054,2451,1863,2103,2385,2058,2295,2019,1776,2187,1866,2019,1863,1794,1677,1536,1587,1560,1359,1245,1194,1056,1059,24,744,708,738,742,717,740,718,734,644,671,744,716,743,700,743,737,506,740,716,736,711,666,741,713,740,714,744,740,715,742,718,693,742,692,741
138,53,3035,3015,18520,10185,1.534455878,0.703008568,0.223364645,2017/05/08,2017/04/01,2021/05/31,Water: SLB-WaterFrac (WF),6406.64,160.17,14737.1,368.43,40,2440.81,62.27,2233.4,15469,6.04,2.62,Sand,Sand,40/70,160.17,6406.64,0,6406.64,184715.4167,13071,180489,225117,232386,232584,215292,216234,202128,200184,173886,161943,148803,139686,0,0,0,390,0,0,37587,49716,53652,59250,58485,55767,48396,48021,44901,51378,48483,44541,45633,44142,40572,38940,39165,42165.5,3150,31224,25728,21969,19020,15717,13989,12210,10089,7815,7278,6066,5586,333,174,0,768,0,396,4701,4053,3870,3726,3114,3354,2694,2712,2376,2553,2280,2049,2025,1806,1692,1590,1689,420,744,698,732,741,716,738,719,744,744,671,743,461,168,168,0,13,0,63,671,735,735,668,744,716,742,715,741,740,716,744,720,694,744,696,742
148,54,3039,3016,14715,10206,6.887189293,0.736093786,0.207499669,2014/06/05,2014/06/01,2021/07/31,Oil: HAL-My-T-Oil,976,61,2942.81,183.93,16,1162,77.4,0,2944.41,2.53,0.84,Ceramic/Sand,EconoProp,30/50,30,480,480,496,25616.08333,90915,61890,0,0,0,119505,97962,51888,38079,0,0,80838,50625,38469,43107,66306,15300,15342,6075,4017,1731,27465,15585,5427,8703,16632,20259,20982,18054,2697,22548,26154,12054,9501,15648,16086,16998.5,24711,14478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,21,9,15,6,9,18,3,1083,557,632,0,0,0,3,504,560,452,0,0,440,370,711,406,271,450,525,596,642,441,465,709,712,714,707,710,632,470,708,592,685,540,574,427,46
151,55,3039,3016,14551,10189,9.075289575,0.736315366,0.220159141,2014/05/15,2014/05/01,2021/07/31,Oil: HAL-My-T-Oil,978.9,61.18,1834.69,114.67,16,1086.01,72.39,1212.06,1837.19,1.69,0.9,Ceramic/Sand,EconoProp,30/50,30.11,481.82,481.82,497.08,13569.33333,82512,55866,73860,59424,0,54897,94347,64041,35298,26949,0,0,44001,36336,23340,23073,23019,22479,21870,17046,8637,7335,11340,6609,19206,9510,10899,14523,12747,9168,1347,29715,37923,7806,9951,8538,15880,26766,14736,19776,21765,0,17169,3720,0,0,0,0,0,0,0,342,13893,20295,3981,0,0,0,0,0,0,0,0,0,0,27,9,3,9,3,6,9,3,379,71,269,27,0,264,19,348,367,334,0,0,420,330,629,350,317,464,223,413,660,618,455,698,739,684,617,650,707,497,708,635,610,645,698,562
152,56,3046,3015,14993,10240,8.522727273,0.735732692,0.21356669,2015/08/18,2015/08/01,2021/07/31,Oil: CWS-DynaGel,2021.5,101.08,6070.1,303.51,20,1414.79,74.46,1524.11,6141.2,4.29,1.43,Ceramic/Sand,EconoProp,30/50,25.04,500.8,500.8,1520.7,31562.5,123318,292404,136857,58857,57270,57327,28317,32151,28899,10746,35730,25206,25368,29331,30069,22290,15981,12372,13344,21519,0,0,0,0,0,30498,18960,14286,20106,15753,6393,9330,13266,11733,11058,7473,9875.5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,90,21,12,15,18,6,0,0,0,0,0,0,9,0,0,3,0,0,1779,1638,1623,1413,6,15,480,411,735,742,696,739,720,631,96,737,703,504,435,510,744,716,672,744,0,0,0,0,0,408,622,558,672,743,616,720,575,708,697,508
