,Unnamed: 0,No,PRICE ($),Per Month Operation Cost ($),Y_t,J_t,ID index,time,X_t,normal,Interpolated X_t
59,26,774,790000,50000,196512.0,4400.0,11,5,44.66181818181817,1,44.66181818181818
60,27,776,1131000,100000,687915.0,3281.0,12,1,209.666260286498,1,209.666260286498
61,27,776,1131000,100000,574269.0,4294.0,12,2,133.73754075454121,1,133.73754075454121
62,27,776,1131000,100000,397257.0,4333.0,12,3,91.68174474959612,1,91.6817447495961
63,27,776,1131000,100000,337734.0,4201.0,12,4,80.39371578195667,1,80.39371578195667
64,27,776,1131000,100000,269976.0,4359.0,12,5,61.93530626290435,1,61.93530626290436
65,28,778,1015000,100000,843909.0,3583.0,13,1,235.53139826960648,1,235.53139826960648
66,28,778,1015000,100000,633381.0,4232.0,13,2,149.6646975425331,1,149.6646975425331
67,28,778,1015000,100000,419406.0,4397.0,13,3,95.38458039572436,1,95.38458039572436
68,28,778,1015000,100000,326961.0,4203.0,13,4,77.79229122055675,1,77.79229122055675
69,28,778,1015000,100000,270885.0,4408.0,13,5,61.45303992740472,1,61.45303992740472
70,29,780,637000,50000,965283.0,3142.0,14,3,307.21928707829414,1,307.21928707829414
71,29,780,637000,50000,497352.0,3608.0,14,4,137.8470066518847,1,137.8470066518847
72,29,780,637000,50000,83076.0,1997.0,14,5,41.60040060090135,0,92.24691195017235
73,29,780,637000,50000,204453.0,4383.0,14,6,46.64681724845996,1,46.64681724845997
74,29,780,637000,50000,178506.0,4327.0,14,7,41.253986595793855,1,41.253986595793855
75,30,782,746000,50000,1109574.0,3121.0,15,3,355.5187439923101,1,355.5187439923101
76,30,782,746000,50000,607143.0,3605.0,15,4,168.41692094313453,1,168.41692094313453
77,30,782,746000,50000,62316.0,1992.0,15,5,31.283132530120483,0,96.83585773184123
78,30,782,746000,50000,110616.0,4380.0,15,6,25.254794520547943,1,25.254794520547932
79,30,782,746000,50000,96696.0,4328.0,15,7,22.34195933456562,1,22.341959334565615
80,31,818,1409000,100000,1096788.0,3663.0,16,1,299.4234234234234,1,299.4234234234234
81,31,818,1409000,100000,830100.0,4302.0,16,2,192.95676429567644,1,192.95676429567644
82,31,818,1409000,100000,443526.0,4149.0,16,3,106.89949385394071,1,106.8994938539407
83,31,818,1409000,100000,352221.0,4381.0,16,4,80.39739785437115,1,80.39739785437114
84,31,818,1409000,100000,294594.0,4377.0,16,5,67.30500342700479,1,67.30500342700479
85,32,820,970000,50000,1344156.0,4289.0,17,1,313.3961296339473,1,313.3961296339473
86,32,820,970000,50000,704832.0,4184.0,17,2,168.45889101338432,1,168.45889101338432
87,32,820,970000,50000,368337.0,4401.0,17,3,83.69393319700067,1,83.69393319700069
88,32,820,970000,50000,290745.0,4365.0,17,4,66.60824742268039,1,66.60824742268039
89,32,820,970000,50000,225345.0,4411.0,17,5,51.087055089548855,1,51.087055089548855
90,33,822,1565000,100000,1301814.0,3851.0,18,1,338.0457024149572,1,338.0457024149572
91,33,822,1565000,100000,1354005.0,4341.0,18,2,311.91085003455424,1,311.91085003455424
92,33,822,1565000,100000,832314.0,4378.0,18,3,190.1128369118319,1,190.1128369118319
93,33,822,1565000,100000,580803.0,4347.0,18,4,133.6100759144237,1,133.6100759144237
94,33,822,1565000,100000,405522.0,4313.0,18,5,94.02318571759797,1,94.02318571759798
95,34,824,676000,50000,1159038.0,3755.0,19,1,308.6652463382157,1,308.6652463382157
96,34,824,676000,50000,691476.0,4318.0,19,2,160.13802686428903,1,160.13802686428903
97,34,824,676000,50000,394578.0,4317.0,19,3,91.40097289784572,1,91.40097289784572
98,34,824,676000,50000,245943.0,4355.0,19,4,56.473708381171065,1,56.473708381171065
99,34,824,676000,50000,195786.0,4377.0,19,5,44.730637422892386,1,44.730637422892386
100,35,826,880000,50000,1073166.0,4327.0,20,1,248.016177490178,1,248.016177490178
101,35,826,880000,50000,369831.0,4169.0,20,2,88.70976253298153,1,88.70976253298153
102,35,826,880000,50000,256893.0,4401.0,20,3,58.37150647580096,1,58.371506475800956
103,35,826,880000,50000,237459.0,4364.0,20,4,54.41315307057745,1,54.413153070577444
104,35,826,880000,50000,186591.0,4400.0,20,5,42.407045454545454,1,42.407045454545454
105,36,828,1297000,100000,1194588.0,3729.0,21,1,320.3507642799678,1,320.3507642799678
106,36,828,1297000,100000,890463.0,4339.0,21,2,205.22309287854344,1,205.22309287854344
107,36,828,1297000,100000,485967.0,4252.0,21,3,114.29139228598306,1,114.29139228598305
108,36,828,1297000,100000,370434.0,4391.0,21,4,84.3621043042587,1,84.36210430425871
109,36,828,1297000,100000,286206.0,4380.0,21,5,65.34383561643835,1,65.34383561643835
110,37,830,701000,50000,377841.0,2150.0,22,8,175.74,1,175.74
111,37,830,701000,50000,704580.0,3661.0,22,9,192.4556132204316,1,192.4556132204316
112,37,830,701000,50000,300912.0,2714.0,22,10,110.87398673544584,1,110.87398673544584
113,37,830,701000,50000,181212.0,2572.0,22,11,70.4556765163297,1,70.4556765163297
114,37,830,701000,50000,156540.0,4026.0,22,12,38.8822652757079,1,38.88226527570791
115,38,837,874000,50000,198291.0,561.0,23,8,353.45989304812827,0,246.78673988554635
116,38,837,874000,50000,600612.0,3106.0,23,9,193.37153895685768,1,193.37153895685768
117,38,837,874000,50000,298107.0,2130.0,23,10,139.956338028169,1,139.956338028169
118,38,837,874000,50000,0.0,1.0,23,11,0.0,0,86.54113709948032
119,38,837,874000,50000,58701.0,1397.0,23,12,42.01932712956335,0,33.12593617079165
120,39,852,569000,50000,548142.0,3799.0,24,2,144.28586470123716,1,144.28586470123716
121,39,852,569000,50000,271674.0,4325.0,24,3,62.81479768786127,1,62.81479768786127
122,39,852,569000,50000,189489.0,4291.0,24,4,44.159636448380326,1,44.159636448380326
123,39,852,569000,50000,170964.0,4368.0,24,5,39.14010989010989,1,39.14010989010989
124,39,852,569000,50000,136377.0,4299.0,24,6,31.72295882763433,1,31.72295882763433
125,40,854,425000,30000,450633.0,3739.0,25,2,120.52233217437819,1,120.52233217437819
126,40,854,425000,30000,225327.0,4271.0,25,3,52.75743385623976,1,52.75743385623976
127,40,854,425000,30000,158757.0,4273.0,25,4,37.15352211560964,1,37.15352211560965
128,40,854,425000,30000,147399.0,4374.0,25,5,33.69890260631001,1,33.69890260631001
129,40,854,425000,30000,120579.0,4341.0,25,6,27.776779543883897,1,27.776779543883897
130,41,856,865000,50000,654453.0,3697.0,26,2,177.0227211252367,1,177.0227211252367
131,41,856,865000,50000,459774.0,4319.0,26,3,106.45380875202594,1,106.45380875202594
132,41,856,865000,50000,371796.0,4296.0,26,4,86.54469273743017,1,86.54469273743017
133,41,856,865000,50000,262302.0,4373.0,26,5,59.982163274639845,1,59.98216327463983
134,41,856,865000,50000,217932.0,4321.0,26,6,50.43554732700764,1,50.43554732700764
135,42,860,1059000,100000,334338.0,2113.0,27,2,158.22905821107432,1,158.22905821107432
136,42,860,1059000,100000,297693.0,3227.0,27,3,92.25069724202044,1,92.25069724202044
137,42,860,1059000,100000,290964.0,3651.0,27,4,79.69433032046015,1,79.69433032046015
138,42,860,1059000,100000,128037.0,1222.0,27,5,104.77659574468085,0,67.13796339889987
139,42,860,1059000,100000,68028.0,1736.0,27,6,39.18663594470046,0,54.58159647733959
140,43,863,591000,50000,354132.0,3119.0,28,10,113.54023725553058,1,113.54023725553058
141,43,863,591000,50000,126720.0,3458.0,28,11,36.64545980335454,1,36.64545980335454
142,43,863,591000,50000,137361.0,2971.0,28,12,46.23392797038034,1,46.23392797038034
143,43,863,591000,50000,95292.0,311.0,28,13,306.40514469453376,0,61.59641603998469
144,43,863,591000,50000,168540.0,2190.0,28,14,76.95890410958904,1,76.95890410958904
